#No recentering correction has been made! Must use full expression for cumulants!
#i	j	<z^i zbar^j>_eps	<z^i zbar^j>_U	<z^i zbar^j>_Ubar	<z^i zbar^j>_C	<z^i zbar^j>_T	<z^i zbar^j>_s
0	0	(146.356,0)	(2.13415e-09,1.83632e-09)	(2.13415e-09,-1.83632e-09)	(-1.29409e-10,-5.20476e-10)	(-1.89398e-08,7.61751e-08)	(-0.5,0)	(222.376,0)
0	1	(-0.840641,-1.10428)	(-0.292427,-7.14843e-09)	(1.81458e-09,-8.31909e-09)	(7.27181e-09,1.09011e-08)	(1.30294e-06,1.17752e-06)	(0.42032,0.552139)	(-0.776405,-0.992118)
0	2	(-11.1844,9.5974)	(0.491653,0.645842)	(4.31799e-07,4.29239e-07)	(-0.0427562,6.08087e-09)	(9.54007e-05,-2.13541e-07)	(5.59221,-4.7987)	(-12.0002,10.3604)
0	3	(35.2794,21.4033)	(9.8119,-8.41963)	(4.86719e-07,4.25356e-07)	(0.107829,0.141646)	(-3.8201e-05,-2.94998e-06)	(-17.6397,-10.7017)	(31.4921,20.4926)
0	4	(29.224,-542.012)	(-41.2668,-25.0358)	(-0.000150204,0.00016027)	(2.86926,-2.46213)	(2.07228e-06,5.25075e-05)	(-14.612,271.006)	(27.8192,-594.057)
0	5	(-1340.5,147.243)	(-42.7563,792.497)	(1.43075e-05,-6.7086e-05)	(-15.0851,-9.15217)	(-0.0984954,-0.100655)	(670.249,-73.6216)	(-1210.99,55.8583)
1	0	(-0.840641,1.10428)	(1.81458e-09,8.31909e-09)	(-0.292427,7.14843e-09)	(8.90253e-09,-8.04558e-09)	(1.06428e-06,-1.59545e-06)	(0.42032,-0.552139)	(-0.776405,0.992118)
1	1	(20.5646,0)	(0.245827,-0.322921)	(0.245827,0.322921)	(1.87612e-09,-6.47023e-09)	(2.74582e-07,9.4696e-07)	(-10.2823,0)	(22.6213,0)
1	2	(-21.7705,-46.186)	(-12.0022,-4.57127e-07)	(3.27063,-2.80654)	(0.0359458,-0.0472127)	(0.00036715,0.000372564)	(10.8853,23.093)	(-20.7985,-43.0301)
1	3	(-543.427,496.242)	(19.036,40.4352)	(-10.3165,-6.25877)	(-2.63026,3.45422e-07)	(0.0328143,2.62564e-05)	(271.713,-248.121)	(-623.907,571.669)
1	4	(1746.15,1083.34)	(633.974,-579.02)	(-8.55099,158.499)	(5.56034,11.8164)	(-0.0296673,0.0265971)	(-873.076,-541.672)	(1626.98,1094.49)
1	5	(1868.36,-32044)	(-2544.38,-1578.73)	(391.915,-42.973)	(231.534,-211.475)	(-0.00775947,-0.0309858)	(-934.182,16022)	(1930.02,-38093)
2	0	(-11.1844,-9.5974)	(4.31799e-07,-4.29239e-07)	(0.491653,-0.645842)	(6.51838e-07,1.45905e-09)	(-6.25764,-8.89974e-07)	(5.59221,4.7987)	(-12.0002,-10.3604)
2	1	(-21.7705,46.186)	(3.27063,2.80654)	(-12.0022,4.57127e-07)	(2.5086e-06,-2.5456e-06)	(5.26089,6.90988)	(10.8853,-23.093)	(-20.7985,43.0301)
2	2	(868.952,0)	(12.6909,-26.9565)	(12.6909,26.9565)	(0.478211,0.410354)	(69.9893,-60.0579)	(-434.476,0)	(1023.65,0)
2	3	(-912.608,-2322.42)	(-759.202,-2.87274e-05)	(316.987,-289.51)	(2.7813,-5.90706)	(-220.625,-133.791)	(456.304,1161.21)	(-894.362,-2272.85)
2	4	(-31158,28963.5)	(1061.03,2702.69)	(-1017.66,-631.402)	(-221.627,1.51482e-05)	(-171.274,3391.77)	(15579,-14481.8)	(-38679.2,36099)
2	5	(100295,63904.2)	(45286.5,-42101.3)	(-1093.32,18673.3)	(386.94,986.346)	(8366.6,-899.937)	(-50147.3,-31952.1)	(98680.2,68970.6)
3	0	(35.2794,-21.4033)	(4.86719e-07,-4.25356e-07)	(9.8119,8.41963)	(-2.61014e-07,2.01561e-08)	(15.7815,-20.7308)	(-17.6397,10.7017)	(31.4921,-20.4926)
3	1	(-543.427,-496.242)	(-10.3165,6.25877)	(19.036,-40.4352)	(0.000224208,-1.794e-07)	(-384.956,-5.05548e-05)	(271.713,248.121)	(-623.907,-571.669)
3	2	(-912.608,2322.42)	(316.987,289.51)	(-759.202,2.87274e-05)	(-1.50745,0.914146)	(407.061,864.536)	(456.304,-1161.21)	(-894.362,2272.85)
3	3	(47832.3,0)	(795.888,-2026.9)	(795.888,2026.9)	(69.4602,63.4424)	(10165.9,-9285.2)	(-23916.1,0)	(60747.9,0)
3	4	(-48863.1,-134102)	(-55545.1,-0.0018259)	(27171.9,-25260.8)	(232.688,-591.283)	(-32569.6,-20185.7)	(24431.5,67050.9)	(-49759.7,-139503)
3	5	(-2.02592e+06,1.89502e+06)	(70783.7,194327)	(-87314,-55636.9)	(-20224.5,-0.000465893)	(-30742,598668)	(1.01296e+06,-947509)	(-2.7422e+06,2.57778e+06)
4	0	(29.224,542.012)	(-0.000150204,-0.00016027)	(-41.2668,25.0358)	(1.41591e-08,-3.58764e-07)	(419.935,360.348)	(-14.612,-271.006)	(27.8192,594.057)
4	1	(1746.15,-1083.34)	(-8.55099,-158.499)	(633.974,579.02)	(-0.000202706,-0.000181728)	(813.791,-1729.41)	(-873.076,541.672)	(1626.98,-1094.49)
4	2	(-31158,-28963.5)	(-1017.66,631.402)	(1061.03,-2702.69)	(-1.17025,-23.1748)	(-32436.5,-0.00221703)	(15579,14481.8)	(-38679.2,-36099)
4	3	(-48863.1,134102)	(27171.9,25260.8)	(-55545.1,0.0018259)	(-222.536,137.922)	(34055.4,86538.1)	(24431.5,-67050.9)	(-49759.7,139503)
4	4	(3.07212e+06,0)	(56678.1,-155410)	(56678.1,155410)	(7929.93,7372.29)	(1.1606e+06,-1.07898e+06)	(-1.53606e+06,0)	(4.25495e+06,0)
4	5	(-3.04659e+06,-8.67628e+06)	(-4.43753e+06,-0.0806765)	(2.34656e+06,-2.19506e+06)	(20839.7,-56450.6)	(-3.70221e+06,-2.34995e+06)	(1.5233e+06,4.33814e+06)	(-3.27567e+06,-9.69772e+06)
5	0	(-1340.5,-147.243)	(1.43075e-05,6.7086e-05)	(-42.7563,-792.497)	(-0.000672983,0.000687736)	(-2207.81,1339.48)	(670.249,73.6216)	(-1210.99,-55.8583)
5	1	(1868.36,32044)	(391.915,42.973)	(-2544.38,1578.73)	(-5.30176e-05,0.000211714)	(33886.5,30950.8)	(-934.182,-16022)	(1930.02,38093)
5	2	(100295,-63904.2)	(-1093.32,-18673.3)	(45286.5,42101.3)	(57.1659,6.14894)	(56631.1,-144358)	(-50147.3,31952.1)	(98680.2,-68970.6)
5	3	(-2.02592e+06,-1.89502e+06)	(-87314,55636.9)	(70783.7,-194327)	(-210.049,-4090.48)	(-2.95998e+06,0.0681865)	(1.01296e+06,947509)	(-2.7422e+06,-2.57778e+06)
5	4	(-3.04659e+06,8.67628e+06)	(2.34656e+06,2.19506e+06)	(-4.43753e+06,0.0806765)	(-25295.8,16056.4)	(3.05003e+06,8.2619e+06)	(1.5233e+06,-4.33814e+06)	(-3.27567e+06,9.69772e+06)
5	5	(2.24565e+08,0)	(4.42417e+06,-1.24903e+07)	(4.42417e+06,1.24903e+07)	(854915,799644)	(1.25122e+08,-1.17033e+08)	(-1.12282e+08,0)	(3.44486e+08,0)
