0	0	(80.24104995840395,0.0)
0	1	(0.7096471726817276,1.0075248547247966)
0	2	(-0.5779083991246939,1.3840796480290671)
0	3	(-1.8051224387786229,0.20028529418524382)
0	4	(-1.198124908969885,-1.875908131576475)
0	5	(1.5974693507873379,-2.258765624371852)
1	0	(0.7096471726817276,-1.0075248547247966)
1	1	(2.645669059439578,-4.899299211144705e-19)
1	2	(2.582902085736594,3.836721871939174)
1	3	(-3.0272360243175997,6.649307100887267)
1	4	(-10.868303044672444,0.8182888729273757)
1	5	(-16.660514082207506,-13.677696571374002)
2	0	(-0.5779083991246939,-1.3840796480290671)
2	1	(2.582902085736594,-3.836721871939174)
2	2	(11.672493301082234,4.815466608037614e-17)
2	3	(13.355435287802194,20.598719595132664)
2	4	(-20.187888426960118,41.524288156508895)
2	5	(-79.13696119669555,5.1650402358467105)
3	0	(-1.8051224387786229,-0.20028529418524382)
3	1	(-3.027236024317598,-6.649307100887267)
3	2	(13.355435287802191,-20.598719595132664)
3	3	(84.65035670108601,1.4837107185769943e-17)
3	4	(84.05811462255181,144.862976165812)
3	5	(-161.26195760728442,314.8820365864927)
4	0	(-1.198124908969885,1.875908131576475)
4	1	(-10.868303044672444,-0.8182888729273731)
4	2	(-20.187888426960118,-41.524288156508895)
4	3	(84.05811462255181,-144.86297616581209)
4	4	(5533.418561534634,6.098627947713604e-16)
4	5	(-1107.9458728812774,2963.832248581518)
5	0	(1.5974693507873379,2.258765624371852)
5	1	(-16.660514082207506,13.677696571374005)
5	2	(-79.13696119669555,-5.1650402358467105)
5	3	(-161.26195760728447,-314.88203658649263)
5	4	(-1107.945872881276,-2963.832248581516)
5	5	(1748083.4554484242,8.157950783965326e-15)
