0	0	(3160.7914333085505,0.0)
0	1	(0.007799761220883298,-0.05331507710059086)
0	2	(2.83852541969267,-0.10969758523939223)
0	3	(0.6063176552913219,1.1073623905333854)
0	4	(16.108216028887345,-1.7389724512960372)
0	5	(63.47393572532297,-9.710209734749403)
1	0	(0.007799761220883298,0.05331507710059086)
1	1	(9.740342099274795,2.110606100262323e-18)
1	2	(0.30139467637281037,-0.2738067419057212)
1	3	(63.681372255471985,0.16209223333635586)
1	4	(38.66423323020744,41.68611986837571)
1	5	(510.61659330499265,-12.144624297340568)
2	0	(2.83852541969267,0.10969758523939223)
2	1	(0.3013946763728096,0.27380674190572124)
2	2	(170.3844390657874,1.114861039346371e-16)
2	3	(25.37735943654144,10.571845142595723)
2	4	(1791.7769340055102,48.3714713997811)
2	5	(2022.1592597886233,1699.1204580897727)
3	0	(0.6063176552913219,-1.1073623905333854)
3	1	(63.681372255471985,-0.16209223333635764)
3	2	(25.377359436541454,-10.571845142595738)
3	3	(4137.468306444956,1.7683916867383523e-15)
3	4	(1510.8140359061356,799.1351549823468)
3	5	(60037.071473090895,2368.2466836425697)
4	0	(16.108216028887345,1.7389724512960372)
4	1	(38.66423323020744,-41.68611986837572)
4	2	(1791.77693400551,-48.37147139978111)
4	3	(1510.8140359061354,-799.1351549823468)
4	4	(126073.28407207393,5.479962684126871e-15)
4	5	(83222.5486847352,43767.53596088533)
5	0	(63.47393572532297,9.710209734749403)
5	1	(510.6165933049928,12.144624297340552)
5	2	(2022.159259788624,-1699.1204580897731)
5	3	(60037.071473090895,-2368.2466836425688)
5	4	(83222.54868473516,-43767.53596088532)
5	5	(4623465.122814162,-5.508741652335908e-13)
