2.67444 2.28737 2.02359 1.82346 1.64224 1.479 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.31121 1.479 1.64224 1.82348 2.02362 2.30665 
2.28739 2.00947 1.81258 1.65903 1.51685 1.38631 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.38631 1.51685 1.65903 1.81259 2.0236 
2.02361 1.81259 1.65903 1.53693 1.42208 1.31522 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.12825 1.31522 1.42208 1.53693 1.65903 1.82346 
1.82348 1.65903 1.53693 1.4384 1.34463 1.25653 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.07914 1.25653 1.34463 1.4384 1.53693 1.66761 
1.64224 1.51685 1.42208 1.34463 1.27018 1.18921 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.04121 1.18921 1.27018 1.34463 1.42208 1.52345 
1.479 1.38631 1.31522 1.25653 1.18921 1.05985 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.01538 1.05985 1.18921 1.25653 1.31522 1.39123 
1.31121 1.19972 1.12825 1.07914 1.04121 1.01538 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.01538 1.04121 1.07914 1.12825 1.20513 
1.31121 1.19972 1.12825 1.07914 1.04121 1.01538 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.01538 1.04121 1.07914 1.12825 1.20513 
1.31121 1.19972 1.12825 1.07914 1.04121 1.01538 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.01538 1.04121 1.07914 1.12825 1.20513 
1.31121 1.19972 1.12825 1.07914 1.04121 1.01538 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.01538 1.04121 1.07914 1.12825 1.20513 
