0	0	(9963.027444930498,0.0)
0	1	(0.061777206659790605,-0.13642052420248785)
0	2	(4.159474004216619,-0.8951884759433337)
0	3	(-6.274031504148344,6.08162394016732)
0	4	(33.60751072238431,40.55299818480154)
0	5	(70.14441038265942,88.94782136564106)
1	0	(0.061777206659790605,0.13642052420248785)
1	1	(13.962985689164507,1.899479198498112e-18)
1	2	(0.05995851781008618,-3.3202905436703416)
1	3	(128.59785628397387,-33.66990352783952)
1	4	(-298.38173297377483,174.17143477978146)
1	5	(1470.9804000729014,1606.5061849055264)
2	0	(4.159474004216619,0.8951884759433337)
2	1	(0.05995851781008628,3.320290543670342)
2	2	(332.52500228270134,3.628297200658816e-17)
2	3	(-79.30664618998034,-129.5750253672502)
2	4	(4598.43338825435,-1339.213571800474)
2	5	(-15025.9899920229,5473.98417252092)
3	0	(-6.274031504148344,-6.08162394016732)
3	1	(128.59785628397387,33.66990352783952)
3	2	(-79.30664618998036,129.5750253672501)
3	3	(10433.464590619293,7.508929947504596e-16)
3	4	(-6784.320413218594,-5790.202127646634)
3	5	(188197.3297801903,-57202.13819726119)
4	0	(33.60751072238431,-40.55299818480154)
4	1	(-298.38173297377483,-174.1714347797815)
4	2	(4598.43338825435,1339.213571800474)
4	3	(-6784.320413218597,5790.202127646634)
4	4	(393405.4803645211,-1.3080638197523795e-13)
4	5	(-470872.96228164417,-280562.7457297086)
5	0	(70.14441038265942,-88.94782136564106)
5	1	(1470.9804000729011,-1606.5061849055269)
5	2	(-15025.9899920229,-5473.984172520916)
5	3	(188197.3297801902,57202.13819726119)
5	4	(-470872.96228164417,280562.74572970887)
5	5	(17013141.093875363,1.3937341205624645e-11)
