ieta = 0, ix = 121, iy = 191, energy density = 0.189877 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.14001
ieta = 0, ix = 118, iy = 193, energy density = 0.560283 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.706894
ieta = 0, ix = 127, iy = 195, energy density = 0.136962 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.125163
ieta = 0, ix = 113, iy = 187, energy density = 0.264397 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.152254
ieta = 0, ix = 121, iy = 188, energy density = 0.215512 GeV/fm^3, shear |pi/(epsilon+3*P)| = 1.74195
ieta = 0, ix = 121, iy = 197, energy density = 0.240878 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.218363
ieta = 0, ix = 128, iy = 197, energy density = 0.30084 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.246064
ieta = 0, ix = 128, iy = 197, energy density = 0.30084 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.129074
ieta = 0, ix = 128, iy = 197, energy density = 0.301419 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.115395
ieta = 0, ix = 130, iy = 202, energy density = 0.115718 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.239796
ieta = 0, ix = 115, iy = 184, energy density = 0.286608 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.377439
ieta = 0, ix = 128, iy = 197, energy density = 0.109778 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.119176
ieta = 0, ix = 130, iy = 202, energy density = 0.115718 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.203064
ieta = 0, ix = 128, iy = 197, energy density = 0.109778 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.123669
ieta = 0, ix = 112, iy = 186, energy density = 0.14772 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.121141
ieta = 0, ix = 115, iy = 184, energy density = 0.277449 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.112034
ieta = 0, ix = 118, iy = 194, energy density = 0.412488 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.175097
ieta = 0, ix = 119, iy = 194, energy density = 0.115564 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.576387
ieta = 0, ix = 123, iy = 195, energy density = 0.377096 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.155689
ieta = 0, ix = 127, iy = 197, energy density = 0.566878 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.174138
ieta = 0, ix = 118, iy = 186, energy density = 0.197671 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.27261
ieta = 0, ix = 118, iy = 193, energy density = 0.280614 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.119664
ieta = 0, ix = 123, iy = 191, energy density = 0.76343 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.258839
ieta = 0, ix = 124, iy = 200, energy density = 0.356522 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.136561
ieta = 0, ix = 118, iy = 193, energy density = 0.104108 GeV/fm^3, shear |pi/(epsilon+3*P)| = 1.4555
ieta = 0, ix = 123, iy = 191, energy density = 0.773209 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.10791
ieta = 0, ix = 123, iy = 191, energy density = 0.214954 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.115836
ieta = 0, ix = 117, iy = 191, energy density = 0.0988937 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.171358
ieta = 0, ix = 124, iy = 195, energy density = 0.446459 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.430745
ieta = 0, ix = 125, iy = 198, energy density = 0.502894 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.126378
ieta = 0, ix = 117, iy = 191, energy density = 0.0988937 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.168277
ieta = 0, ix = 123, iy = 191, energy density = 0.186758 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.116844
ieta = 0, ix = 125, iy = 199, energy density = 0.211463 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.114162
ieta = 0, ix = 117, iy = 191, energy density = 0.181839 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.122828
ieta = 0, ix = 123, iy = 191, energy density = 0.186758 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.157826
ieta = 0, ix = 124, iy = 197, energy density = 0.452226 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.18836
ieta = 0, ix = 125, iy = 198, energy density = 0.679091 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.197558
ieta = 0, ix = 116, iy = 191, energy density = 0.603688 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.106508
ieta = 0, ix = 124, iy = 198, energy density = 0.176165 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.328224
ieta = 0, ix = 124, iy = 191, energy density = 0.232508 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.547764
ieta = 0, ix = 122, iy = 198, energy density = 0.256327 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.320942
ieta = 0, ix = 122, iy = 198, energy density = 0.346073 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.469667
ieta = 0, ix = 126, iy = 201, energy density = 0.240073 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.124121
ieta = 0, ix = 115, iy = 193, energy density = 0.19232 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.464472
ieta = 0, ix = 121, iy = 196, energy density = 0.506061 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.295847
