0	0	(721.4883999068427,0.0)
0	1	(1.044227651084256,0.5963599383501128)
0	2	(2.7972913245124964,-0.1713281655302535)
0	3	(3.3057714914425333,0.4487717054609809)
0	4	(16.999450912135472,-18.30197488941835)
0	5	(46.55876434401421,3.483293978321263)
1	0	(1.044227651084256,-0.5963599383501128)
1	1	(7.863800391180902,-8.321371832475587e-18)
1	2	(10.644153151620896,6.031617005743655)
1	3	(42.01770250324644,-5.906620556185557)
1	4	(46.092681901940544,15.339220007298422)
1	5	(307.6145593545949,-387.9744768268151)
2	0	(2.7972913245124964,0.1713281655302535)
2	1	(10.644153151620895,-6.031617005743658)
2	2	(100.33408164759376,-1.3594332806976507e-17)
2	3	(139.53665268713945,86.90572587161444)
2	4	(781.8638471367714,-168.68481741888328)
2	5	(756.3527485090332,466.36757977706134)
3	0	(3.3057714914425333,-0.4487717054609809)
3	1	(42.01770250324644,5.906620556185561)
3	2	(139.53665268713945,-86.90572587161444)
3	3	(1697.9674558447502,-4.337710868722842e-16)
3	4	(2171.4459991664726,1603.8083801191403)
3	5	(17288.160917389014,-4949.230998943448)
4	0	(16.999450912135472,18.30197488941835)
4	1	(46.09268190194055,-15.339220007298422)
4	2	(781.8638471367714,168.68481741888328)
4	3	(2171.4459991664726,-1603.8083801191403)
4	4	(35730.447574496975,7.153833146817752e-15)
4	5	(37567.5391945216,36037.851023608055)
5	0	(46.55876434401421,-3.483293978321263)
5	1	(307.61455935459475,387.974476826815)
5	2	(756.3527485090332,-466.3675797770612)
5	3	(17288.160917389014,4949.230998943448)
5	4	(37567.5391945216,-36037.85102360807)
5	5	(1068937.3997638999,5.822585404742974e-13)
