0	0	(168.95404027022613,0.0)
0	1	(0.8028610173688127,-0.6035253899152281)
0	2	(1.432271948960351,-2.7384857826380227)
0	3	(-1.0495246041527806,-5.186160132431827)
0	4	(-8.589493321304774,-6.363391807584198)
0	5	(-25.790582613774287,5.096167304390091)
1	0	(0.8028610173688127,0.6035253899152281)
1	1	(4.215344460123694,1.1698459077563257e-17)
1	2	(6.419460787869986,-4.041374334748034)
1	3	(10.536098311804983,-17.694676581626076)
1	4	(-6.747772432016688,-38.42060046094767)
1	5	(-63.54208459140136,-43.01320712916293)
2	0	(1.432271948960351,2.7384857826380227)
2	1	(6.419460787869988,4.041374334748034)
2	2	(27.659236529125682,1.612584408110967e-17)
2	3	(52.13155561590235,-30.303250429390065)
2	4	(93.39585980787655,-132.259729791167)
2	5	(-40.82531256212404,-314.48778103339566)
3	0	(-1.0495246041527806,5.186160132431827)
3	1	(10.536098311804983,17.694676581626076)
3	2	(52.13155561590235,30.30325042939006)
3	3	(230.69188383976783,4.892119064483117e-16)
3	4	(467.01121400239373,-250.82150934002829)
3	5	(954.9147148597106,-1104.982475497175)
4	0	(-8.589493321304774,6.363391807584198)
4	1	(-6.747772432016688,38.42060046094767)
4	2	(93.39585980787655,132.259729791167)
4	3	(467.01121400239384,250.82150934002829)
4	4	(4437.515813332965,-2.9818539237919765e-16)
4	5	(4057.640784307908,-1683.6348768360276)
5	0	(-25.790582613774287,-5.096167304390091)
5	1	(-63.54208459140136,43.013207129162936)
5	2	(-40.82531256212404,314.48778103339566)
5	3	(954.9147148597106,1104.9824754971753)
5	4	(4057.640784307906,1683.6348768360276)
5	5	(832446.5836980641,2.1202914908384392e-14)
