0	0	(2061.2451689762283,0.0)
0	1	(0.16544374793770558,-0.17318620674319382)
0	2	(4.614746911945141,0.5162643412017366)
0	3	(2.0610816308269277,-5.466888211411591)
0	4	(37.017609734738535,22.25474010619771)
0	5	(99.6560439902916,-108.95976064702533)
1	0	(0.16544374793770558,0.17318620674319382)
1	1	(7.945680274097363,2.0911883884763437e-18)
1	2	(-1.4449882161450855,-2.9680155096388097)
1	3	(93.20468055898526,24.37264572891873)
1	4	(-26.609425200096613,-211.79872129305912)
1	5	(683.0668047284523,1090.559535601642)
2	0	(4.614746911945141,-0.5162643412017366)
2	1	(-1.444988216145086,2.96801550963881)
2	2	(137.01866387040923,-5.831108503687346e-17)
2	3	(-193.44402354669108,-107.78784931689663)
2	4	(2527.4764504910163,1172.5814630908242)
2	5	(-2555.92386580158,-9459.062807483873)
3	0	(2.0610816308269277,5.466888211411591)
3	1	(93.20468055898526,-24.37264572891873)
3	2	(-193.44402354669108,107.7878493168966)
3	3	(3640.094322428412,3.87815259752645e-16)
3	4	(-10708.29806079498,-4847.996983446302)
3	5	(84572.38147584726,56663.19979506994)
4	0	(37.017609734738535,-22.25474010619771)
4	1	(-26.609425200096606,211.7987212930591)
4	2	(2527.4764504910167,-1172.5814630908242)
4	3	(-10708.29806079498,4847.996983446302)
4	4	(126267.350531482,-9.644964828757444e-15)
4	5	(-529969.4064442317,-232984.54910099396)
5	0	(99.6560439902916,108.95976064702533)
5	1	(683.0668047284523,-1090.559535601642)
5	2	(-2555.92386580158,9459.062807483875)
5	3	(84572.38147584726,-56663.19979506993)
5	4	(-529969.4064442317,232984.549100994)
5	5	(5260861.183993716,-3.5080063482351485e-13)
