0	0	(5150.33598069336,0.0)
0	1	(-0.15292777794481738,-0.06274715132818166)
0	2	(2.3897324663919473,1.0746853267260594)
0	3	(1.1022427286128733,6.563856138269251)
0	4	(44.11367890580753,25.49264915660148)
0	5	(-112.957757871539,47.70216233666946)
1	0	(-0.15292777794481738,0.06274715132818166)
1	1	(11.576386452253429,1.7249196631470082e-18)
1	2	(-4.039139055202003,-3.41221064086585)
1	3	(62.836396871906054,40.405284004057975)
1	4	(72.89308968142639,229.53419638964039)
1	5	(1587.4822132199267,962.5472225873558)
2	0	(2.3897324663919473,-1.0746853267260594)
2	1	(-4.039139055202003,3.412210640865849)
2	2	(242.6332647867962,1.0213894057656448e-17)
2	3	(-115.18721664786221,-139.47381057295635)
2	4	(2135.9224503297414,1730.8128625849115)
2	5	(4216.589304876438,9373.932688755463)
3	0	(1.1022427286128733,-6.563856138269251)
3	1	(62.83639687190605,-40.405284004057975)
3	2	(-115.18721664786221,139.4738105729564)
3	3	(7207.178192362266,1.091603585815407e-15)
3	4	(-3555.899036169353,-6000.606164451289)
3	5	(85371.8870726746,82077.56517644894)
4	0	(44.11367890580753,-25.49264915660148)
4	1	(72.89308968142639,-229.53419638964033)
4	2	(2135.9224503297414,-1730.8128625849113)
4	3	(-3555.899036169353,6000.606164451291)
4	4	(270024.15795489965,1.259808383938045e-13)
4	5	(-120039.01553504814,-285018.58900411456)
5	0	(-112.957757871539,-47.70216233666946)
5	1	(1587.4822132199267,-962.5472225873555)
5	2	(4216.589304876438,-9373.932688755463)
5	3	(85371.8870726746,-82077.56517644892)
5	4	(-120039.01553504822,285018.58900411474)
5	5	(11944428.555452885,8.167650104032657e-12)
