#No recentering correction has been made! Must use full expression for cumulants!
#i	j	<z^i zbar^j>_eps	<z^i zbar^j>_U	<z^i zbar^j>_Ubar	<z^i zbar^j>_C	<z^i zbar^j>_T	<z^i zbar^j>_s
0	0	(14179.8,0)	(-2.28236e-09,-1.12845e-09)	(-2.28236e-09,1.12845e-09)	(3.18862e-10,2.97689e-10)	(4.52139e-06,-4.22116e-06)	(-0.5,0)	(10149.4,0)
0	1	(-0.0726879,0.142523)	(-0.87924,-3.94643e-09)	(-6.35701e-10,8.01679e-09)	(3.20729e-09,-7.49671e-09)	(6.25922e-05,-0.000112015)	(0.036344,-0.0712615)	(-0.0954399,0.142449)
0	2	(0.16112,0.155224)	(0.12782,-0.250624)	(-2.92882e-08,8.14825e-09)	(-0.386532,3.50395e-08)	(-0.000510523,0.00045608)	(-0.08056,-0.0776119)	(0.535692,0.153174)
0	3	(5.79352,-2.28704)	(-0.424989,-0.409437)	(-5.33722e-07,2.81854e-07)	(0.0842887,-0.165269)	(0.00111042,0.000643577)	(-2.89676,1.14352)	(3.93673,-1.86887)
0	4	(-2.2805,76.4)	(-20.3756,8.04343)	(1.24447e-06,6.31191e-07)	(-0.373668,-0.359993)	(-0.00484673,-0.001662)	(1.14025,-38.2)	(3.62406,67.7178)
0	5	(-450.479,408.162)	(10.0253,-335.87)	(-3.33565e-05,-1.51878e-05)	(-22.3938,8.84013)	(-0.00645296,0.00961298)	(225.24,-204.081)	(-444.009,465.856)
1	0	(-0.0726879,-0.142523)	(-6.35701e-10,-8.01679e-09)	(-0.87924,3.94643e-09)	(4.41419e-09,7.89968e-09)	(4.54786e-05,0.000106302)	(0.036344,0.0712615)	(-0.0954399,-0.142449)
1	1	(18.4571,0)	(0.0639101,0.125312)	(0.0639101,-0.125312)	(2.35147e-08,-2.02388e-09)	(0.000333433,2.86981e-05)	(-9.22853,0)	(19.2199,0)
1	2	(-5.55232,6.2107)	(-31.7767,-2.14028e-07)	(-0.141663,-0.136479)	(0.0280962,0.0550893)	(0.00114798,-0.0043266)	(2.77616,-3.10535)	(-6.54414,5.94498)
1	3	(8.20462,-2.53371)	(14.4972,-16.0915)	(-5.0939,2.01086)	(-20.8051,1.25984e-06)	(-0.00366166,0.0208554)	(-4.10231,1.26686)	(27.8065,0.0661509)
1	4	(219.047,-80.5371)	(-28.1982,9.544)	(2.00502,-67.1739)	(12.7031,-14.0631)	(0.0745955,-0.0554718)	(-109.524,40.2686)	(135.311,-61.1221)
1	5	(174.864,2923.53)	(-923.597,338.512)	(396.08,-358.872)	(-30.7506,10.7213)	(-0.0934665,-0.048948)	(-87.432,-1461.77)	(457.914,2600.56)
2	0	(0.16112,-0.155224)	(-2.92882e-08,-8.14825e-09)	(0.12782,0.250624)	(-3.60036e-08,-3.21642e-08)	(-5480.93,-0.000496851)	(-0.08056,0.0776119)	(0.535692,-0.153174)
2	1	(-5.55232,-6.2107)	(-0.141663,0.136479)	(-31.7767,2.14028e-07)	(8.09592e-08,3.05125e-07)	(398.397,-781.153)	(2.77616,3.10535)	(-6.54414,-5.94498)
2	2	(550.866,0)	(9.66483,10.7277)	(9.66483,-10.7277)	(-0.0622768,0.0599986)	(-883.07,-850.766)	(-275.433,0)	(586.42,0)
2	3	(-332.387,274.793)	(-1379.86,-9.26267e-06)	(-14.0991,4.77201)	(6.35156,7.03154)	(-31753.8,12535)	(166.193,-137.397)	(-388.676,259.257)
2	4	(714.611,-127.548)	(1124.31,-916.978)	(-369.438,135.405)	(-1191.86,5.87523e-05)	(12505.8,-418741)	(-357.305,63.7739)	(1719.95,-28.0054)
2	5	(9099.93,-3314.57)	(-3033.42,523.019)	(-315.28,-4881.33)	(1219.34,-989.74)	(2.46905e+06,-2.23711e+06)	(-4549.96,1657.28)	(4777.62,-2044.86)
3	0	(5.79352,2.28704)	(-5.33722e-07,-2.81854e-07)	(-0.424989,0.409437)	(7.83101e-08,-4.5387e-08)	(1195.19,2343.47)	(-2.89676,-1.14352)	(3.93673,1.86887)
3	1	(8.20462,2.53371)	(-5.0939,-2.01086)	(14.4972,16.0915)	(-2.58231e-07,-1.47079e-06)	(-295011,-0.0178643)	(-4.10231,-1.26686)	(27.8065,-0.0661509)
3	2	(-332.387,-274.793)	(-14.0991,-4.77201)	(-1379.86,9.26267e-06)	(-2.23937,-0.884006)	(90063.6,-99705.5)	(166.193,137.397)	(-388.676,-259.257)
3	3	(21279.2,0)	(843.236,687.734)	(843.236,-687.734)	(-9.22509,-3.2164)	(-130810,45607.8)	(-10639.6,0)	(22854,0)
3	4	(-20478.3,13086.4)	(-68550.5,-0.000421572)	(-1820.05,313.812)	(731.605,593.845)	(-3.40535e+06,1.24674e+06)	(10239.2,-6543.18)	(-23783.1,12282.3)
3	5	(57502.9,-3210.58)	(83594.4,-52309)	(-21891.5,7969.91)	(-73057.3,0.00365285)	(-2.96934e+06,-4.48338e+07)	(-28751.5,1605.29)	(111869,-1807.22)
