0	0	(76.28684759474726,0.0)
0	1	(-0.20308389994576062,0.3111006101080099)
0	2	(0.5496558440258803,0.3142712369144186)
0	3	(-1.8054852446558416,0.3722602766671593)
0	4	(3.7263856945866167,-2.47418102730964)
0	5	(-11.2668571820047,12.461608038858518)
1	0	(-0.20308389994576062,-0.3111006101080099)
1	1	(5.039184877151401,9.811015293099709e-18)
1	2	(-2.6744651319408055,3.0571632325705425)
1	3	(9.823748428937073,3.0940720446210643)
1	4	(-39.23634705491157,13.076699926051278)
1	5	(92.46663137743035,-82.58581565144655)
2	0	(0.5496558440258803,-0.3142712369144186)
2	1	(-2.6744651319408055,-3.0571632325705425)
2	2	(52.04209329174402,6.793331053081972e-18)
2	3	(-52.1046087125149,45.03848465176274)
2	4	(234.06456939541346,28.7986741570079)
2	5	(-1064.4907540810839,467.5638186121143)
3	0	(-1.8054852446558416,-0.3722602766671593)
3	1	(9.823748428937073,-3.0940720446210657)
3	2	(-52.10460871251491,-45.03848465176273)
3	3	(841.6601753010832,-4.0334830503201047e-17)
3	4	(-1348.244762150289,900.8297505260633)
3	5	(6933.473377146826,-149.3627708863961)
4	0	(3.7263856945866167,2.47418102730964)
4	1	(-39.23634705491157,-13.076699926051285)
4	2	(234.0645693954134,-28.7986741570079)
4	3	(-1348.244762150289,-900.8297505260633)
4	4	(23495.877067547855,3.454526820541314e-14)
4	5	(-46650.178829411925,26491.674305699795)
5	0	(-11.2668571820047,-12.461608038858518)
5	1	(92.46663137743035,82.58581565144658)
5	2	(-1064.4907540810839,-467.5638186121143)
5	3	(6933.473377146826,149.36277088639667)
5	4	(-46650.1788294119,-26491.674305699795)
5	5	(2472975.8778605824,9.70868722977958e-13)
