#No recentering correction has been made! Must use full expression for cumulants!
#i	j	<z^i zbar^j>_eps	<z^i zbar^j>_U	<z^i zbar^j>_Ubar	<z^i zbar^j>_C	<z^i zbar^j>_T	<z^i zbar^j>_s
0	0	(35.2298,0)	(5.34637e-08,-5.08477e-08)	(5.34637e-08,5.08477e-08)	(-9.82385e-08,5.03441e-08)	(-3.46092e-06,-1.77361e-06)	(-0.5,0)	(48.885,0)
0	1	(1.50767,0.868806)	(-0.446611,-1.28905e-07)	(4.55455e-07,-7.58282e-08)	(-1.31512e-07,1.47925e-08)	(-5.52601e-06,9.63183e-07)	(-0.753835,-0.434403)	(1.50799,0.869498)
0	2	(1.87417,2.20734)	(-1.34668,-0.77604)	(3.81112e-06,3.16643e-06)	(-0.0997268,6.32297e-07)	(0.000201817,7.00261e-06)	(-0.937084,-1.10367)	(1.94012,2.13365)
0	3	(2.69438,4.33039)	(-2.51108,-2.95746)	(6.15442e-06,-2.68926e-07)	(-0.451071,-0.25993)	(0.000669023,0.000460443)	(-1.34719,-2.1652)	(3.18947,4.16446)
0	4	(4.89373,8.83766)	(-4.81406,-7.73668)	(-0.000659427,0.000667424)	(-1.12144,-1.32079)	(0.00222622,0.00193566)	(-2.44687,-4.41883)	(6.40767,8.76646)
0	5	(10.9987,18.9376)	(-10.9939,-19.735)	(0.000165972,-0.000195273)	(-2.69224,-4.3238)	(-0.151865,-0.152773)	(-5.49937,-9.46878)	(16.3749,18.9087)
1	0	(1.50767,-0.868806)	(4.55455e-07,7.58282e-08)	(-0.446611,1.28905e-07)	(-1.56856e-07,-2.734e-08)	(-4.63315e-06,-5.21136e-07)	(-0.753835,0.434403)	(1.50799,-0.869498)
1	1	(5.28777,0)	(-0.673338,0.388023)	(-0.673338,-0.388023)	(-1.95076e-06,7.73197e-07)	(-6.87248e-05,-2.72396e-05)	(-2.64388,0)	(5.61237,0)
1	2	(11.5559,5.6283)	(-4.63384,-1.16547e-06)	(-0.837018,-0.985822)	(-0.150343,0.0866638)	(0.000703698,0.000393195)	(-5.77796,-2.81415)	(12.5624,6.02229)
1	3	(20.4863,19.209)	(-15.0796,-7.30951)	(-1.20261,-1.93329)	(-1.54174,1.55029e-05)	(0.0178008,-6.93752e-05)	(-10.2432,-9.60449)	(23.4374,20.0562)
1	4	(39.1874,48.2987)	(-35.5964,-33.1361)	(-2.19804,-3.94701)	(-6.67524,-3.22886)	(-0.0191896,0.0527962)	(-19.5937,-24.1493)	(50.6245,50.4716)
1	5	(45.0436,119.051)	(-85.4448,-104.333)	(-5.24606,-8.12293)	(-19.6849,-18.276)	(0.0837126,-0.000963279)	(-22.5219,-59.5253)	(8.58595,128.189)
2	0	(1.87417,-2.20734)	(3.81112e-06,-3.16643e-06)	(-1.34668,0.77604)	(5.72859e-06,-1.9877e-07)	(-3.51335,-2.22757e-05)	(-0.937084,1.10367)	(1.94012,-2.13365)
2	1	(11.5559,-5.6283)	(-0.837018,0.985822)	(-4.63384,1.16547e-06)	(1.99745e-05,-1.11609e-05)	(-5.29657,-3.05315)	(-5.77796,2.81415)	(12.5624,-6.02229)
