#No recentering correction has been made! Must use full expression for cumulants!
#i	j	<z^i zbar^j>_eps	<z^i zbar^j>_U	<z^i zbar^j>_Ubar	<z^i zbar^j>_C	<z^i zbar^j>_T	<z^i zbar^j>_s
0	0	(199.188,0)	(-8.2189e-10,-1.61693e-08)	(-8.2189e-10,1.61693e-08)	(2.96991e-09,-1.61658e-09)	(5.91572e-07,3.22005e-07)	(-0.5,0)	(174.797,0)
0	1	(0.891936,-0.361223)	(-2.0396,-8.58714e-09)	(3.05639e-08,5.96465e-08)	(-1.30992e-10,7.18276e-09)	(2.72019e-06,5.67871e-06)	(-0.445968,0.180611)	(0.68765,-0.17239)
0	2	(-0.478129,-1.99144)	(-3.63839,1.4735)	(3.3179e-07,1.19628e-07)	(-2.07999,6.78374e-08)	(0.000166364,1.34605e-05)	(0.239065,0.995718)	(-0.129299,-1.51581)
0	3	(-2.68999,-3.07499)	(2.92558,12.1852)	(4.36551e-06,-8.99279e-07)	(-5.56566,2.25402)	(0.000207465,-0.000107262)	(1.34499,1.53749)	(-1.86289,-2.56629)
0	4	(4.26998,-0.213489)	(21.946,25.087)	(-2.1241e-05,2.07e-05)	(5.96703,24.853)	(-0.000115053,-0.00111205)	(-2.13499,0.106745)	(-0.164321,-2.15552)
0	5	(-5.76338,16.4579)	(-43.5616,2.1771)	(-4.28344e-06,-3.05607e-05)	(55.9514,63.9594)	(-0.006803,-0.00446328)	(2.88169,-8.22894)	(-7.05905,9.52406)
1	0	(0.891936,0.361223)	(3.05639e-08,-5.96465e-08)	(-2.0396,8.58714e-09)	(1.36564e-08,-2.85093e-08)	(-2.60921e-08,-1.43072e-06)	(-0.445968,-0.180611)	(0.68765,0.17239)
1	1	(10.7724,0)	(-1.8192,-0.736751)	(-1.8192,0.736751)	(-1.98125e-08,-8.3275e-08)	(-3.94642e-06,1.65874e-05)	(-5.38621,0)	(9.09131,0)
1	2	(14.9756,-6.30405)	(-35.4581,-1.53097e-07)	(0.975195,4.06174)	(-1.85522,-0.75134)	(0.000100564,0.000184515)	(-7.48779,3.15203)	(9.55081,-2.76184)
1	3	(-11.1612,-49.6499)	(-68.9292,29.3787)	(5.48654,6.27178)	(-49.9138,2.38182e-06)	(0.0331901,0.00050911)	(5.5806,24.825)	(-4.01684,-34.3331)
1	4	(-81.7201,-103.991)	(66.7169,303.684)	(-8.71095,0.435407)	(-125.153,53.6698)	(-0.00804858,0.0110035)	(40.86,51.9957)	(-50.7529,-71.9343)
1	5	(170.906,-45.5542)	(605.135,799.592)	(11.7447,-33.5573)	(149.409,688.088)	(-0.000210218,-0.057391)	(-85.4528,22.7771)	(62.5255,-88.812)
2	0	(-0.478129,1.99144)	(3.3179e-07,-1.19628e-07)	(-3.63839,-1.4735)	(8.3521e-07,-6.75766e-08)	(-414.31,-1.35124e-05)	(0.239065,-0.995718)	(-0.129299,1.51581)
2	1	(14.9756,6.30405)	(0.975195,-4.06174)	(-35.4581,1.53097e-07)	(5.04867e-07,-9.26337e-07)	(-369.538,149.658)	(-7.48779,-3.15203)	(9.55081,2.76184)
2	2	(200.646,0)	(-45.9528,-19.5858)	(-45.9528,19.5858)	(0.994503,-4.14217)	(198.093,825.072)	(-100.323,0)	(156.953,0)
2	3	(324.67,-140.136)	(-820.474,1.72531e-06)	(33.3585,151.842)	(-62.5764,-26.8348)	(1114.49,1274.01)	(-162.335,70.0682)	(187.558,-59.8441)
2	4	(-290.943,-1424.3)	(-1627.74,705.431)	(242.065,319.848)	(-1408.51,0.00010591)	(-1760.22,88.4716)	(145.471,712.148)	(-117.868,-965.928)
2	5	(-2614.11,-3792.31)	(1748.1,8911.3)	(-517.636,176.768)	(-3335.74,1448.07)	(2381.04,-6811.77)	(1307.06,1896.15)	(-1589.05,-2461.36)
3	0	(-2.68999,3.07499)	(4.36551e-06,8.99279e-07)	(2.92558,-12.1852)	(1.04155e-06,5.38496e-07)	(-1108.61,-448.974)	(1.34499,-1.53749)	(-1.86289,2.56629)
3	1	(-11.1612,49.6499)	(5.48654,-6.27178)	(-68.9292,-29.3787)	(0.000166627,-2.55592e-06)	(-9942.24,-0.00047443)	(5.5806,-24.825)	(-4.01684,34.3331)
3	2	(324.67,140.136)	(33.3585,-151.842)	(-820.474,-1.72531e-06)	(5.59518,-6.39599)	(-12464.5,5345.18)	(-162.335,-70.0682)	(187.558,59.8441)
3	3	(4949.58,0)	(-1220.79,-529.059)	(-1220.79,529.059)	(44.8228,-206.426)	(8928.17,41117.7)	(-2474.79,0)	(3811.48,0)
3	4	(8441.21,-3642.9)	(-23134.7,0.000472174)	(1048.86,5346.78)	(-2001.41,-868.804)	(64482.9,86856.3)	(-4220.6,1821.45)	(4664.27,-1579.2)
3	5	(-8354.61,-46241)	(-45262.8,19430.1)	(9394.77,14313)	(-45646.9,0.00589874)	(-136674,52942.1)	(4177.31,23120.5)	(-3695.77,-31902)
4	0	(4.26998,0.213489)	(-2.1241e-05,-2.07e-05)	(21.946,-25.087)	(-5.77609e-07,5.58293e-06)	(1188.56,-4950.43)	(-2.13499,-0.106745)	(-0.164321,2.15552)
