0	0	(10628.4218985301,0.0)
0	1	(-0.6756987287125201,0.0268789208851593)
0	2	(1.5930509865173426,-0.46131116232337555)
0	3	(-5.428286990232159,-0.6966179474600382)
0	4	(64.81121780132162,-72.36753181373147)
0	5	(-246.2969048377559,11.764963598129777)
1	0	(-0.6756987287125201,-0.0268789208851593)
1	1	(14.36161385907577,1.5164455611023622e-18)
1	2	(-17.78124397716659,-2.1411577423728376)
1	3	(34.689997336402755,-3.6896222782926458)
1	4	(-144.58778184173266,-34.32585128786026)
1	5	(2364.7195220282583,-2259.884751603358)
2	0	(1.5930509865173426,0.46131116232337555)
2	1	(-17.78124397716659,2.1411577423728385)
2	2	(333.74241768976736,-6.153068883976735e-17)
2	3	(-542.886020548425,-138.77562238768212)
2	4	(944.9024193544134,192.9157969435025)
2	5	(-4573.358042581771,-1445.2297759044106)
3	0	(-5.428286990232159,0.6966179474600382)
3	1	(34.689997336402755,3.689622278292642)
3	2	(-542.8860205484249,138.77562238768212)
3	3	(9605.750793980882,8.05836250413464e-16)
3	4	(-18514.3123797123,-6390.117912866713)
3	5	(31030.334381039054,15245.442010167139)
4	0	(64.81121780132162,72.36753181373147)
4	1	(-144.58778184173266,34.32585128786029)
4	2	(944.9024193544134,-192.91579694350278)
4	3	(-18514.31237971229,6390.117912866713)
4	4	(316031.30145444017,-1.4455647361308905e-13)
4	5	(-689091.8819822237,-275147.12604456657)
5	0	(-246.2969048377559,-11.764963598129777)
5	1	(2364.7195220282583,2259.8847516033584)
5	2	(-4573.358042581774,1445.2297759044127)
5	3	(31030.334381039054,-15245.44201016715)
5	4	(-689091.8819822241,275147.12604456657)
5	5	(11476881.27086304,6.061256426631071e-12)
