#No recentering correction has been made! Must use full expression for cumulants!
#i	j	<z^i zbar^j>_eps	<z^i zbar^j>_U	<z^i zbar^j>_Ubar	<z^i zbar^j>_C	<z^i zbar^j>_T	<z^i zbar^j>_s
0	0	(4201.96,0)	(-2.19601e-09,-4.67636e-09)	(-2.19601e-09,4.67636e-09)	(2.884e-09,2.42765e-10)	(1.21185e-05,-1.02009e-06)	(-0.5,0)	(3518.87,0)
0	1	(-0.0425168,-0.388393)	(-0.400351,5.53279e-09)	(-2.75945e-10,-3.10213e-09)	(-3.2501e-09,-5.22093e-09)	(-1.37485e-05,-1.20791e-05)	(0.0212584,0.194196)	(-0.0175354,-0.362407)
0	2	(3.18438,-0.550857)	(0.0340433,0.310987)	(-1.71264e-08,2.52725e-08)	(-0.0801403,1.05749e-08)	(0.000163345,2.93494e-05)	(-1.59219,0.275429)	(3.45516,-0.650161)
0	3	(5.28279,-10.7425)	(-3.82461,0.661608)	(-5.62531e-08,-2.47082e-08)	(0.0102219,0.0933777)	(-0.000310961,2.37178e-06)	(-2.6414,5.37127)	(6.75319,-12.0846)
0	4	(12.5974,-10.6551)	(-8.45988,17.2031)	(-4.58767e-06,4.39088e-06)	(-1.53119,0.264875)	(0.000636466,0.000995714)	(-6.29869,5.32757)	(14.8669,-8.0657)
0	5	(93.9936,-187.885)	(-25.2179,21.3289)	(-1.27382e-06,2.26228e-06)	(-4.23366,8.60909)	(-0.0565414,-0.0670678)	(-46.9968,93.9426)	(126.193,-223.763)
1	0	(-0.0425168,0.388393)	(-2.75945e-10,3.10213e-09)	(-0.400351,-5.53279e-09)	(-3.27192e-09,2.87463e-09)	(-1.36568e-05,2.19381e-05)	(0.0212584,-0.194196)	(-0.0175354,0.362407)
1	1	(9.87398,0)	(0.0170216,-0.155493)	(0.0170216,0.155493)	(2.53345e-08,2.07083e-09)	(0.000106455,-8.70156e-06)	(-4.93699,0)	(11.4184,0)
1	2	(2.14316,-6.31506)	(-7.84193,6.72313e-08)	(-1.27487,0.220536)	(0.00340728,-0.0311259)	(-0.000205265,0.000327153)	(-1.07158,3.15753)	(2.33615,-6.49349)
1	3	(78.3066,-15.3802)	(-2.58223,7.50995)	(-2.11497,4.30079)	(-2.34821,2.4786e-07)	(0.0411964,0.00103641)	(-39.1533,7.69011)	(95.49,-18.1963)
1	4	(182.804,-312.803)	(-124.174,24.4178)	(-5.04357,4.26579)	(-1.03489,2.99664)	(-0.0356387,0.0158926)	(-91.4021,156.401)	(253.376,-387.866)
1	5	(450.897,-281.344)	(-362.541,619.259)	(-37.6326,75.2221)	(-61.9371,12.1843)	(0.0636514,0.0669644)	(-225.448,140.672)	(590.511,-194.234)
2	0	(3.18438,0.550857)	(-1.71264e-08,-2.52725e-08)	(0.0340433,-0.310987)	(3.88735e-08,-6.98468e-09)	(-336.746,-4.44355e-05)	(-1.59219,-0.275429)	(3.45516,0.650161)
2	1	(2.14316,6.31506)	(-1.27487,-0.220536)	(-7.84193,-6.72313e-08)	(-4.88497e-08,-7.78571e-08)	(14.3173,130.79)	(-1.07158,-3.15753)	(2.33615,6.49349)
2	2	(191.941,0)	(-1.72148,-5.00663)	(-1.72148,5.00663)	(-0.255197,-0.0441459)	(-1072.33,185.499)	(-95.9705,0)	(248.937,0)
2	3	(97.914,-148.609)	(-226.769,1.04948e-06)	(-62.0872,12.2089)	(-0.517427,-1.4983)	(-1778.9,3617.6)	(-48.957,74.3047)	(116.075,-166.164)
2	4	(2485.21,-448.217)	(-155.141,233.184)	(-145.014,247.706)	(-90.2825,1.35189e-05)	(-4228.23,3588.14)	(-1242.6,224.108)	(3367.26,-554.51)
2	5	(7245.75,-11014.8)	(-4875.59,877.708)	(-357.156,221.854)	(-77.3644,115.897)	(-31667.7,63283.4)	(-3622.88,5507.42)	(10941.5,-14948.1)
3	0	(5.28279,10.7425)	(-5.62531e-08,2.47082e-08)	(-3.82461,-0.661608)	(-7.40037e-08,-5.64445e-10)	(42.952,-392.37)	(-2.6414,-5.37127)	(6.75319,12.0846)
3	1	(78.3066,15.3802)	(-2.11497,-4.30079)	(-2.58223,-7.50995)	(9.80409e-06,-2.4665e-07)	(-9867.09,-0.0010415)	(-39.1533,-7.69011)	(95.49,18.1963)
3	2	(97.914,148.609)	(-62.0872,-12.2089)	(-226.769,-1.04948e-06)	(-0.42335,-0.860932)	(-2174.21,6295.79)	(-48.957,-74.3047)	(116.075,166.164)
3	3	(5326.11,0)	(-116.353,-174.885)	(-116.353,174.885)	(-18.5811,-3.65528)	(-78077.2,15359.3)	(-2663.06,0)	(7638.81,0)
3	4	(4239.45,-4551.06)	(-8311.75,1.14818e-05)	(-2925.35,526.625)	(-46.4082,-69.5278)	(-182364,311400)	(-2119.73,2275.53)	(5711.37,-5522.28)
3	5	(94823.2,-14540.9)	(-8300.06,8831.28)	(-8528.21,12933.3)	(-4122.08,0.00119299)	(-443851,278479)	(-47411.6,7270.45)	(142129,-19100.2)
4	0	(12.5974,10.6551)	(-4.58767e-06,-4.39088e-06)	(-8.45988,-17.2031)	(1.51469e-07,-2.36964e-07)	(-6433.99,-1113)	(-6.29869,-5.32757)	(14.8669,8.0657)
4	1	(182.804,312.803)	(-5.04357,-4.26579)	(-124.174,-24.4178)	(-8.48145e-06,-3.78219e-06)	(-4348.58,-12591.8)	(-91.4021,-156.401)	(253.376,387.866)
4	2	(2485.21,448.217)	(-145.014,-247.706)	(-155.141,-233.184)	(-1.00625,-0.853921)	(-379364,-0.0568058)	(-1242.6,-224.108)	(3367.26,554.51)
4	3	(4239.45,4551.06)	(-2925.35,-526.625)	(-8311.75,-1.14818e-05)	(-43.3997,-74.1083)	(-195006,292153)	(-2119.73,-2275.53)	(5711.37,5522.28)
4	4	(186234,0)	(-6638.73,-7063.71)	(-6638.73,7063.71)	(-1163.24,-209.279)	(-4.88788e+06,879383)	(-93116.8,0)	(294847,0)
4	5	(202002,-170450)	(-359315,0.000461263)	(-147193,22448.2)	(-3294,-3494.4)	(-1.42365e+07,2.16041e+07)	(-101001,85225.1)	(309663,-225116)
5	0	(93.9936,187.885)	(-1.27382e-06,-2.26228e-06)	(-25.2179,-21.3289)	(-1.34559e-05,1.59611e-05)	(-17789.7,-36175.1)	(-46.9968,-93.9426)	(126.193,223.763)
5	1	(450.897,281.344)	(-37.6326,-75.2221)	(-362.541,-619.259)	(1.5148e-05,-1.59365e-05)	(-260257,-51197.8)	(-225.448,-140.672)	(590.511,194.234)
5	2	(7245.75,11014.8)	(-357.156,-221.854)	(-4875.59,-877.708)	(-7.53641,-15.0604)	(-325082,-486994)	(-3622.88,-5507.42)	(10941.5,14948.1)
5	3	(94823.2,14540.9)	(-8528.21,-12933.3)	(-8300.06,-8831.28)	(-105.629,-66.2736)	(-1.73208e+07,-5.0129)	(-47411.6,-7270.45)	(142129,19100.2)
5	4	(202002,170450)	(-147193,-22448.2)	(-359315,-0.000461263)	(-3388.05,-5141.43)	(-1.38413e+07,1.46833e+07)	(-101001,-85225.1)	(309663,225116)
5	5	(7.8063e+06,0)	(-390400,-326439)	(-390400,326439)	(-72886.7,-11097.3)	(-3.06267e+08,4.66305e+07)	(-3.90315e+06,0)	(1.39477e+07,0)
