0	0	(9324.60016520524,0.0)
0	1	(-0.29949448919105043,-0.0016566314622510144)
0	2	(-0.4871393262768033,1.5605895293194543)
0	3	(9.497594721838157,-6.733006125079659)
0	4	(80.307638969686,45.508070665038765)
0	5	(-135.1638122604011,83.34472477100103)
1	0	(-0.29949448919105043,0.0016566314622510144)
1	1	(16.240434029392425,8.285831918605083e-18)
1	2	(-9.341923022565966,1.3189816140770863)
1	3	(-0.9855338124388917,28.24161619988201)
1	4	(271.3208771663156,-246.62710167345293)
1	5	(3001.5921518344057,1606.6702611756677)
2	0	(-0.4871393262768033,-1.5605895293194543)
2	1	(-9.341923022565966,-1.3189816140770863)
2	2	(377.23363807422754,-3.826745413411658e-16)
2	3	(-317.5246167685521,79.22816523019794)
2	4	(316.7772883018993,644.5987637596451)
2	5	(8887.288148427262,-9085.385325417648)
3	0	(9.497594721838157,6.733006125079659)
3	1	(-0.9855338124388925,-28.24161619988203)
3	2	(-317.5246167685521,-79.22816523019794)
3	3	(10750.709403578285,-4.077642675034594e-15)
3	4	(-11512.231513615572,3784.158371467055)
3	5	(21977.234891418317,18251.749763826065)
4	0	(80.307638969686,-45.508070665038765)
4	1	(271.3208771663156,246.62710167345293)
4	2	(316.77728830189955,-644.5987637596451)
4	3	(-11512.231513615572,-3784.158371467059)
4	4	(352850.53941923514,2.825569018834895e-13)
4	5	(-441627.35110067966,171336.83084560226)
5	0	(-135.1638122604011,-83.34472477100103)
5	1	(3001.5921518344057,-1606.6702611756677)
5	2	(8887.288148427264,9085.385325417648)
5	3	(21977.234891418335,-18251.749763826072)
5	4	(-441627.35110067966,-171336.83084560235)
5	5	(12888595.432221554,-2.311526262368095e-12)
