0	0	(8007.16959549676,0.0)
0	1	(-0.5995626118383244,-0.07207000684514457)
0	2	(4.326421085586932,1.5884927909234223)
0	3	(-4.539878320631923,-3.0336650559333544)
0	4	(40.18627137695058,27.211710556948933)
0	5	(-54.99881614376329,-29.560327695786068)
1	0	(-0.5995626118383244,0.07207000684514457)
1	1	(12.974390917394947,6.9152705802190816e-18)
1	2	(-16.170891573094853,-1.0326380205902668)
1	3	(135.19981388211352,42.29838608391966)
1	4	(-202.57410166381027,-80.92868790186088)
1	5	(1732.2097856911128,971.8304502083076)
2	0	(4.326421085586932,-1.5884927909234223)
2	1	(-16.170891573094853,1.0326380205902668)
2	2	(302.81001837631214,1.971898406243586e-16)
2	3	(-572.7751232420037,-23.06982450484678)
2	4	(5182.399782596454,1356.792309409354)
2	5	(-10049.006353255823,-2429.359066197508)
3	0	(-4.539878320631923,3.0336650559333544)
3	1	(135.1998138821135,-42.29838608391966)
3	2	(-572.7751232420037,23.069824504846796)
3	3	(9746.465035516732,-1.5985214177148397e-14)
3	4	(-24441.38463616907,-604.8655581304967)
3	5	(233235.72489455406,50664.95466176795)
4	0	(40.18627137695058,-27.211710556948933)
4	1	(-202.57410166381027,80.92868790186088)
4	2	(5182.399782596454,-1356.792309409354)
4	3	(-24441.384636169067,604.8655581304969)
4	4	(390940.5690189107,3.065745727252466e-13)
4	5	(-1206173.7536207165,-14437.556808054273)
5	0	(-54.99881614376329,29.560327695786068)
5	1	(1732.2097856911125,-971.8304502083074)
5	2	(-10049.006353255822,2429.35906619751)
5	3	(233235.724894554,-50664.95466176795)
5	4	(-1206173.7536207165,14437.556808054382)
5	5	(18550089.29475706,1.7089388236287775e-11)
