#No recentering correction has been made! Must use full expression for cumulants!
#i	j	<z^i zbar^j>_eps	<z^i zbar^j>_U	<z^i zbar^j>_Ubar	<z^i zbar^j>_C	<z^i zbar^j>_T	<z^i zbar^j>_s
0	0	(4970.59,0)	(-3.33614e-10,4.23582e-10)	(-3.33614e-10,-4.23582e-10)	(-6.13548e-09,1.53059e-09)	(-3.04969e-05,-7.60791e-06)	(-0.5,0)	(4297.64,0)
0	1	(0.136745,0.245667)	(-1.42861,-1.09994e-08)	(2.27614e-10,1.62127e-08)	(1.72393e-09,-4.0704e-09)	(-4.31142e-05,-4.40849e-05)	(-0.0683725,-0.122834)	(0.0937385,0.260841)
0	2	(2.09657,0.208326)	(-0.390709,-0.701923)	(1.20995e-07,1.30263e-09)	(-1.02046,1.17284e-08)	(0.000185669,5.96841e-05)	(-1.04828,-0.104163)	(1.81402,0.0515887)
0	3	(4.09596,-7.75854)	(-8.9855,-0.892846)	(-4.39801e-07,5.64323e-07)	(-0.418627,-0.752079)	(5.56744e-05,0.000503286)	(-2.04798,3.87927)	(4.99209,-10.3495)
0	4	(22.369,87.252)	(-23.4061,44.3356)	(-5.91414e-07,4.53409e-06)	(-12.8367,-1.27552)	(0.00145413,0.00965157)	(-11.1845,-43.626)	(24.242,97.777)
0	5	(-13.2714,-2.03927)	(-159.783,-623.244)	(2.32372e-05,1.60194e-05)	(-41.7976,79.1726)	(0.0476452,-0.0156325)	(6.63569,1.01964)	(-26.3695,28.6576)
1	0	(0.136745,-0.245667)	(2.27614e-10,-1.62127e-08)	(-1.42861,1.09994e-08)	(-8.67387e-09,8.86915e-09)	(8.56896e-06,2.02323e-05)	(-0.0683725,0.122834)	(0.0937385,-0.260841)
1	1	(18.9486,0)	(-0.195355,0.350962)	(-0.195355,-0.350962)	(-1.5656e-08,-1.05381e-09)	(-7.78194e-05,5.23805e-06)	(-9.4743,0)	(19.9332,0)
1	2	(2.04603,9.40851)	(-51.2245,4.27693e-08)	(-2.99517,-0.297615)	(-0.139542,0.250693)	(-0.000380179,-0.00119052)	(-1.02302,-4.70426)	(0.743545,10.9383)
1	3	(74.4294,5.49627)	(-7.57281,-38.1743)	(-5.85152,11.0839)	(-53.8434,1.07466e-06)	(-0.0611226,0.00779162)	(-37.2147,-2.74813)	(59.3986,-0.3979)
1	4	(275.95,-528.588)	(-388.644,-27.7636)	(-31.9567,-124.649)	(-10.249,-53.5128)	(-0.124246,-0.0540484)	(-137.975,264.294)	(343.615,-697.042)
1	5	(1400.14,5632.77)	(-1851.69,3549.51)	(18.9585,2.91395)	(-672.192,-47.4096)	(-1.26809,0.531721)	(-700.072,-2816.38)	(1502.11,6498.72)
2	0	(2.09657,-0.208326)	(1.20995e-07,-1.30263e-09)	(-0.390709,0.701923)	(3.73536e-08,-1.20075e-08)	(-5072.27,-5.82969e-05)	(-1.04828,0.104163)	(1.81402,-0.0515887)
2	1	(2.04603,-9.40851)	(-2.99517,0.297615)	(-51.2245,-4.27693e-08)	(-7.64857e-08,2.39514e-07)	(-693.607,-1246.09)	(-1.02302,4.70426)	(0.743545,-10.9383)
2	2	(656.315,0)	(-5.04853,25.4496)	(-5.04853,-25.4496)	(-2.13946,0.212587)	(-10634.3,-1056.68)	(-328.158,0)	(723.512,0)
