1 9.94839 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11384 5.11384 5.11151 5.10959 5.11074 5.1092 5.10998 5.10883 5.11187 5.10993 5.11046 5.11011 5.10939 5.10981 5.11185 5.10944 5.10859 5.1089 5.10732 5.10884 5.10884 5.10889 5.11077 5.10922 5.10917 5.11027 5.1102 5.10752 5.10965 5.10964 5.10956 5.11034 5.11036 5.11074 5.1092 5.11267 5.11345 5.11384 5.11422 5.11461 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 5.11383 10.3436 
9.94723 2.00948 1.27369 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.1997 1.19971 1.19969 1.19969 1.19978 1.19973 1.19982 1.19986 1.19986 1.19987 1.19988 1.19986 1.1997 1.19981 1.19965 1.19964 1.19972 1.19967 1.19971 1.19974 1.19972 1.19971 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.27369 2.0236 
5.11345 1.27369 1.00598 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00251 1.00252 1.00253 1.00251 1.00249 1.00246 1.00243 1.00254 1.0026 1.00276 1.00278 1.00281 1.00283 1.00284 1.00285 1.00263 1.00254 1.00234 1.00237 1.00246 1.00251 1.00255 1.00252 1.0025 1.00251 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00252 1.00598 1.27725 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00001 1.00002 1.00003 1.00007 1.00009 1.00011 1.00012 1.00013 1.00014 1.00007 1.00005 1.00004 1.00003 1.00001 1.00001 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00001 1.00003 1.00007 1.00016 1.00021 1.00039 1.00084 1.00101 1.00123 1.00139 1.00142 1.00158 1.00081 1.00063 1.00068 1.00044 1.00021 1.00011 1.00006 1.00002 1.00001 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00001 1.00001 1.00006 1.00014 1.00036 1.00078 1.00172 1.00113 1.00009 1.00099 1.00088 1.00067 1.00058 1.00057 1.00057 1.00028 1.00133 1.00599 1.00424 1.00223 1.00148 1.00096 1.00028 1.00013 1.00004 1.00002 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00001 1.00002 1.00008 1.00015 1.00073 1.00236 1.00007 1.00132 1.00133 1.01272 1.02747 1.04374 1.04648 1.04998 1.05216 1.05248 1.05504 1.0369 1.01891 1.00075 1.0005 1.00058 1.00181 1.00767 1.0034 1.00241 1.00058 1.00023 1.00004 1.00002 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00001 1.00002 1.0001 1.00021 1.00088 1.00139 1 1.01136 1.02926 1.04347 1.06099 1.01163 1.00401 1.00208 1.00208 1.0018 1.00174 1.00159 1.00199 1.00855 1.02497 1.08881 1.07748 1.06472 1.03232 1.0018 1.00281 1.01479 1.00537 1.00043 1.00073 1.00021 1.00006 1.00001 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00002 1.00008 1.0002 1.00112 1.00066 1.00002 1.01181 1.04475 1.0066 1.00335 1.00321 1.00632 1.08559 1.14787 1.1469 1.14693 1.14961 1.15091 1.14984 1.15498 1.13447 1.07326 1.0047 1.00277 1.00717 1.02496 1.11178 1.04697 1.00317 1.00416 1.02448 1.0059 1.0007 1.00072 1.00007 1.00001 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00005 1.00026 1.00086 1.00065 1.00007 1.01515 1.04967 1.00785 1.00375 1.09637 1.17455 1.14511 1.16978 1.02863 1.00882 1.00545 1.00508 1.00437 1.00416 1.00382 1.00463 1.01378 1.04325 1.17328 1.16237 1.16918 1.09003 1.00599 1.02436 1.14517 1.06607 1.00341 1.00694 1.01806 1.00003 1.0012 1.00019 1.00003 1.00001 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
