2.62132 2.2685 2.02359 1.82346 1.65057 1.49755 1.32337 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.30335 1.32337 1.49755 1.65058 1.82348 2.02361 2.2874 
2.26852 2.00947 1.82347 1.6676 1.53014 1.40636 1.26327 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.19972 1.26327 1.40636 1.53015 1.66761 1.82347 2.0236 
2.02361 1.82347 1.67631 1.55077 1.4384 1.33597 1.21632 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.13198 1.21632 1.33597 1.4384 1.55077 1.67631 1.83452 
1.82348 1.66761 1.55077 1.44963 1.35802 1.27369 1.12718 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.08168 1.12718 1.27369 1.35802 1.44963 1.55077 1.67631 
1.65058 1.53015 1.4384 1.35802 1.28449 1.21633 1.06255 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.04437 1.06255 1.21632 1.28449 1.35802 1.4384 1.53693 
1.49755 1.40637 1.33597 1.27369 1.21633 1.08451 1.02588 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.01867 1.02588 1.08451 1.21633 1.27369 1.33597 1.41154 
1.32337 1.26327 1.21632 1.12718 1.06255 1.02588 1.00428 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00186 1.00428 1.02588 1.06255 1.12718 1.21633 1.26671 
1.30335 1.19972 1.13198 1.08168 1.04437 1.01867 1.00186 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00186 1.01867 1.04437 1.08168 1.13198 1.20513 
1.30335 1.19972 1.13198 1.08168 1.04437 1.01867 1.00186 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00186 1.01867 1.04437 1.08168 1.13198 1.20513 
1.30335 1.19972 1.13198 1.08168 1.04437 1.01867 1.00186 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00186 1.01867 1.04437 1.08168 1.13198 1.20513 
