0	0	(361.0082390973968,0.0)
0	1	(-0.4044255209581997,0.6529841893047629)
0	2	(0.740362935054173,0.587776543909756)
0	3	(8.054864508594227,4.6372057556435005)
0	4	(-36.2135427782522,30.618678569013834)
0	5	(-10.80686138889515,151.09623615030216)
1	0	(-0.4044255209581997,-0.6529841893047629)
1	1	(10.744440783266917,8.613666387955697e-18)
1	2	(0.7136089326118076,11.240250418691135)
1	3	(47.47781941640742,45.03765829464787)
1	4	(278.83979431865777,271.5393214219942)
1	5	(-1346.0963976910252,1746.5326493680673)
2	0	(0.740362935054173,-0.587776543909756)
2	1	(0.7136089326118087,-11.240250418691135)
2	2	(251.34077545044576,-2.1832748867051595e-16)
2	3	(278.93581423530844,325.5327107081646)
2	4	(2643.9770877631277,2597.0172847560116)
2	5	(11916.362333789459,16802.829238368813)
3	0	(8.054864508594227,-4.6372057556435005)
3	1	(47.47781941640742,-45.037658294647855)
3	2	(278.93581423530844,-325.53271070816453)
3	3	(8800.117412622805,-1.0299341475462748e-14)
3	4	(20556.925418199702,13676.901365383386)
3	5	(152644.7456192316,154527.70161102762)
4	0	(-36.2135427782522,-30.618678569013834)
4	1	(278.83979431865777,-271.5393214219942)
4	2	(2643.9770877631277,-2597.017284756012)
4	3	(20556.925418199702,-13676.901365383397)
4	4	(396993.9265348761,-8.976388774746843e-14)
4	5	(1390398.9762026093,736154.3003836555)
5	0	(-10.80686138889515,-151.09623615030216)
5	1	(-1346.0963976910255,-1746.5326493680673)
5	2	(11916.362333789455,-16802.829238368813)
5	3	(152644.7456192316,-154527.70161102767)
5	4	(1390398.9762026088,-736154.3003836555)
5	5	(21632078.960563652,1.5833153186303443e-11)
